"location","source","expert","n_tv","mean_tv","sd_tv","n_ms","mean_ms","sd_ms","d_diff","t","df","p.value","yi","vi","sei"
"byui","byui",1,28,1.89285714285714,2.22602188385372,31,2.68817204301075,1.98500953234201,0.377112120086943,1.44227553969307,54.4383991127444,0.154953582637992,0.373246931683317,0.0691529711796606,0.262969525191914
"cnj","cnj",1,21,1.98412698412698,2.31054632903656,29,1.73563218390805,1.68885071831955,-0.122791428918042,-0.418497707056967,34.7531515201163,0.678158279001104,-0.124039584556346,0.0822556644251064,0.286802483296617
"illinois","illinois",0,45,-0.785185185185185,1.78398537436189,44,0.606060606060606,1.99776713506786,0.734594955731884,3.46266707152835,85.4364121002455,0.000837947365546792,0.728713071239851,0.0479327687708198,0.218935535651067
"ithaca","ithaca",0,39,0.11965811965812,1.85983584053168,42,0.0555555555555555,2.66861378777987,-0.0278700361145117,-0.126140321953562,73.4322025756625,0.899965586903612,-0.0274248025671858,0.0494551921653386,0.222385233694458
"occid","occid",1,6,0.5,1.37840487520902,10,2.1,3.42124805759608,0.613460624892919,1.31202183481667,12.8372142537774,0.212490498352157,0.528071859938846,0.275381038206019,0.524767603998207
"pace","pace_expert",1,16,2,2.21108319357027,16,2.20833333333333,2.16324516170258,0.0952470228150906,0.269399262881521,29.9856585337583,0.789467656039018,0.0928424525008963,0.125134683140412,0.353743810038299
"plu","plu",0,28,0.488095238095238,1.71049085164368,27,-0.222222222222222,2.22457140787118,-0.357977787708456,-1.32410897359442,48.8170926176909,0.191633423128753,-0.353742377106749,0.0738889015636967,0.271825130485937
"riverside","riverside",1,3,1,0.881917103688197,3,2.33333333333333,1.52752523165195,1.0690449676497,1.30930734141595,3.2,0.276510415200328,0.852974474491693,0.727297121177865,0.852817167497152
"ufl","ufl",0,38,0.868421052631579,1.23643261349456,60,0.922222222222222,1.17629868394387,0.0445838848095474,0.213853992621857,75.9301075351491,0.831234140307556,0.0444891896109728,0.0429925545484746,0.207346460178308
"upenn","upenn",0,45,-0.155555555555556,1.7532077383292,41,0.195121951219512,2.23479505617169,0.174597779703071,0.804260330127837,75.7762060516094,0.423762679236047,0.174022569822426,0.0467885350479613,0.21630657652499
"uwmadison","uwmadison_expert",1,19,1.17543859649123,1.64942347223908,21,1.44444444444444,2.28116279640531,0.135143830318407,0.430211286584023,36.3178960445808,0.66958414724962,0.131376951541276,0.10046637535887,0.31696431243733
"vcu","vcu",1,7,1.61904761904762,1.22366437283861,14,2.19047619047619,1.87978124620327,0.360290427997172,0.836809044261953,17.3585566394002,0.414072300101196,0.322627700547029,0.216764015075244,0.465579225347571
"wesleyan","wesleyan_inhouse",0,53,-0.559748427672956,1.81608857528262,42,-0.222222222222222,1.46257127159006,0.204706271905839,1.00336505667588,92.9679549875438,0.31828918296952,0.200537821975908,0.042889108432788,0.207096857612056
"wpi","wpi",0,70,0.542857142857143,1.95288417827495,71,0.511737089201878,1.60932894021917,-0.0173916174127097,-0.103184506068681,133.387051150084,0.917971509085233,-0.0173094838838437,0.028371283803969,0.16843777427872
